country,company_name,logo
Cyprus,Red Panda,red-panda.png
Cyprus,Ansot Recuriting,ansot-recruiting.png
Malaysia,Sasa Security Services Sdn. Bhd.,sasa-security.png
Malaysia,Wira Security Services Sdn Bhd.,wira-security.png
Malaysia,Kawalan Keselamatan Ikhlas Sdn Bhd,kawalan-keselamatan-ikhlas.png
Malaysia,JS Security Services Sdn Bhd,js-security-services.png
Malaysia,Doffin Security Services Sdn Bhd.,doffin-security.png
Malaysia,Magna Security Services Sdn Bhd.,magna-security.png
Malaysia,Prima Platinum Sdn. Bhd.,prima-platinum.png
Malaysia,Global Cleaning Specialist Sdn Bhd.,global-cleaning.png
